X_Coordinate,Y_Coordinate,GlacierName,GlacierID
-223175,-2283425,Alison Glacer,A
-223175,-2284175,Alison Glacer,A
-223175,-2289425,Alison Glacer,A
-223175,-2290175,Alison Glacer,A
-223175,-2290925,Alison Glacer,A
-223175,-2291675,Alison Glacer,A
-223175,-2292425,Alison Glacer,A
-222425,-2265425,Alison Glacer,A
-222425,-2266175,Alison Glacer,A
-222425,-2266925,Alison Glacer,A
-222425,-2267675,Alison Glacer,A
-222425,-2268425,Alison Glacer,A
-222425,-2269175,Alison Glacer,A
-222425,-2269925,Alison Glacer,A
-222425,-2270675,Alison Glacer,A
-222425,-2271425,Alison Glacer,A
-222425,-2272175,Alison Glacer,A
-222425,-2272925,Alison Glacer,A
-222425,-2273675,Alison Glacer,A
-222425,-2280425,Alison Glacer,A
-222425,-2281925,Alison Glacer,A
-222425,-2282675,Alison Glacer,A
-222425,-2283425,Alison Glacer,A
-222425,-2284175,Alison Glacer,A
-222425,-2287175,Alison Glacer,A
-222425,-2287925,Alison Glacer,A
-222425,-2288675,Alison Glacer,A
-222425,-2289425,Alison Glacer,A
-222425,-2290175,Alison Glacer,A
-222425,-2290925,Alison Glacer,A
-222425,-2291675,Alison Glacer,A
-222425,-2292425,Alison Glacer,A
-222425,-2293175,Alison Glacer,A
-222425,-2293925,Alison Glacer,A
-222425,-2294675,Alison Glacer,A
-221675,-2264675,Alison Glacer,A
-221675,-2265425,Alison Glacer,A
-221675,-2266175,Alison Glacer,A
-221675,-2266925,Alison Glacer,A
-221675,-2267675,Alison Glacer,A
-221675,-2268425,Alison Glacer,A
-221675,-2269175,Alison Glacer,A
-221675,-2269925,Alison Glacer,A
-221675,-2270675,Alison Glacer,A
-221675,-2271425,Alison Glacer,A
-221675,-2272175,Alison Glacer,A
-221675,-2272925,Alison Glacer,A
-221675,-2273675,Alison Glacer,A
-221675,-2274425,Alison Glacer,A
-221675,-2281925,Alison Glacer,A
-221675,-2282675,Alison Glacer,A
-221675,-2283425,Alison Glacer,A
-221675,-2284175,Alison Glacer,A
-221675,-2284925,Alison Glacer,A
-221675,-2285675,Alison Glacer,A
-221675,-2286425,Alison Glacer,A
-221675,-2287175,Alison Glacer,A
-221675,-2287925,Alison Glacer,A
-221675,-2288675,Alison Glacer,A
-221675,-2289425,Alison Glacer,A
-221675,-2290175,Alison Glacer,A
-221675,-2290925,Alison Glacer,A
-221675,-2291675,Alison Glacer,A
-221675,-2292425,Alison Glacer,A
-221675,-2293175,Alison Glacer,A
-221675,-2293925,Alison Glacer,A
-221675,-2294675,Alison Glacer,A
-221675,-2295425,Alison Glacer,A
-220925,-2257925,Alison Glacer,A
-220925,-2260925,Alison Glacer,A
-220925,-2261675,Alison Glacer,A
-220925,-2262425,Alison Glacer,A
-220925,-2263175,Alison Glacer,A
-220925,-2263925,Alison Glacer,A
-220925,-2264675,Alison Glacer,A
-220925,-2265425,Alison Glacer,A
-220925,-2266175,Alison Glacer,A
-220925,-2266925,Alison Glacer,A
-220925,-2267675,Alison Glacer,A
-220925,-2268425,Alison Glacer,A
